TITLE-ID,Name,Platforms,Price,Store-Link,Image-Link
PCSE00813,Trillion: God of Destruction,PS Vita,$29.99,https://store.playstation.com/#!/en-us/games/trillion-god-of-destruction/cid=UP0031-PCSE00813_00-TRILLIONGOD00000,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP0031-PCSE00813_00-TRILLIONGOD00000/1495552582000/image
ULUS10548,TRON: Evolution,"PSP, PS Vita",$19.99,https://store.playstation.com/#!/en-us/games/tron-evolution/cid=UP1082-ULUS10548_00-TRONEVOLUTIONDGT,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP1082-ULUS10548_00-TRONEVOLUTIONDGT/1495552546000/image
NPUI94306,Twisted Metal® 2 (PSOne Classic),"PS3, PSP, PS Vita",$5.99,https://store.playstation.com/#!/en-us/games/twisted-metal-2-(psone-classic)/cid=UP9000-NPUI94306_00-COMBINED00000001,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP9000-NPUI94306_00-COMBINED00000001/1494952258000/image
NPUI94304,Twisted Metal® (PSOne Classic),"PS3, PSP, PS Vita",$5.99,https://store.playstation.com/#!/en-us/games/twisted-metal-(psone-classic)/cid=UP9000-NPUI94304_00-0000000000000001,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP9000-NPUI94304_00-0000000000000001/1494952230000/image
ULUS10254,Ultimate Board Game Collection,"PSP, PS Vita",$6.99,https://store.playstation.com/#!/en-us/games/ultimate-board-game-collection/cid=UP1021-ULUS10254_00-0000118533330011,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP1021-ULUS10254_00-0000118533330011/1491317874000/image
ULUS10105,Ultimate Ghosts 'N Goblins,"PSP, PS Vita",$9.99,https://store.playstation.com/#!/en-us/games/ultimate-ghosts-'n-goblins/cid=UP0102-ULUS10105_00-UGHOSTNGXPSPXXNA,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP0102-ULUS10105_00-UGHOSTNGXPSPXXNA/1495552660000/image
NPUH10008,Unbound Saga™,"PSP, PS Vita",$4.99,https://store.playstation.com/#!/en-us/games/unbound-saga/cid=UP2010-NPUH10008_00-UNBOUNDSAGA00001,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP2010-NPUH10008_00-UNBOUNDSAGA00001/1492527814000/image
PCSA00088,UNCHARTED™: Fight for Fortune,PS Vita,$4.99,https://store.playstation.com/#!/en-us/games/uncharted-fight-for-fortune/cid=UP9000-PCSA00088_00-0000000000000000,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP9000-PCSA00088_00-0000000000000000/1490810872000/image
PCSA00029,UNCHARTED: Golden Abyss™,PS Vita,$14.99,https://store.playstation.com/#!/en-us/games/uncharted-golden-abyss/cid=UP9000-PCSA00029_00-0000000000000000,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP9000-PCSA00029_00-0000000000000000/1493681410000/image
NPUH10453,Undead Knights™,"PSP, PS Vita",$39.99,https://store.playstation.com/#!/en-us/games/undead-knights/cid=UP0325-NPUH10453_00-UNDEADKNIGHTSG01,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP0325-NPUH10453_00-UNDEADKNIGHTSG01/1495552882000/image
PCSE00840,Unepic,PS Vita,$9.99,https://store.playstation.com/#!/en-us/games/unepic/cid=UP8906-PCSE00840_00-0000000000000001,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP8906-PCSE00840_00-0000000000000001/1495552673000/image
PCSA00014,Unit 13™,PS Vita,$14.99,https://store.playstation.com/#!/en-us/games/unit-13/cid=UP9000-PCSA00014_00-UNIT13ZIPPER0100,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP9000-PCSA00014_00-UNIT13ZIPPER0100/1493681410000/image
ULUS10003,Untold Legends™ Brotherhood of the Blade™,"PSP, PS Vita",$14.99,https://store.playstation.com/#!/en-us/games/untold-legends-brotherhood-of-the-blade/cid=UP0017-ULUS10003_00-000000000000ULBB,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP0017-ULUS10003_00-000000000000ULBB/1495552679000/image
ULUS10086,Untold Legends™ The Warrior's Code™,"PSP, PS Vita",$14.99,https://store.playstation.com/#!/en-us/games/untold-legends-the-warrior's-code/cid=UP0017-ULUS10086_00-000000000000ULWC,https://store.playstation.com/store/api/chihiro/00_09_000/container/US/en/999/UP0017-ULUS10086_00-000000000000ULWC/1495552581000/image
